movieid,tmdbid,Country,Genre,Directors,Writers,Stars,Ratings,Unknownme,Year,Story
294,tt0119528,USA,Comedy,TomShadyac,"PaulGuay,StephenMazur","JimCarrey,MauraTierney,AmandaDonohoe",6.8,Liar Liar,1997,"
Fletcher Reede, a fast talking attorney, habitual liar, and divorced father is an incredibly successful lawyer who has built his career by lying. He has a habit of giving precedence to his job and always breaking promises to be with his young son Max, but Fletcher lets Max down once too often, for missing his own son's birthday party. But until then at 8:15 Max has decided to make an honest man out of him as he wishes for one whole day his dad couldn't tell a lie. When the wish comes true all Fletcher can do is tell the truth and cannot tell one lie. Uh-oh for Fletcher!                Written by
Anthony Pereyra <hypersonic91@yahoo.com>            "
295,tt0118771,USA,Action|Thriller,JoUnknownthanMostow,"JoUnknownthanMostow,JoUnknownthanMostow","KurtRussell,J.T.Walsh,KathleenQuinlan",6.9,Breakdown,1997,"
Jeff and Amy Taylor are moving to California and must drive across the country. When they find themselves stranded in the middle of a desert with hardly anyone or anything around, their trip comes to a sudden halt. Amy had taken a ride with a friendly trucker to a small diner to call for help, but after a long time, Jeff becomes worried. He finds that no one in the diner has seen or heard from his wife. When he finds the trucker who gave Amy the ride, the trucker swears he has never seen her. Now Jeff must attempt to find his wife, who has been kidUnknownpped and is being held for ransom. But who can he trust?                Written by
Anonymous            "
296,tt0117398,Belgium|France|Luxembourg|Tunisia,Drama,"Jean-PierreDardenne,LucDardenne","LucDardenne,Jean-PierreDardenne","JérémieRenier,OlivierGourmet,AssitaOuedraogo",7.9,La promesse,1996,"
Igor--a 15-year-old apprentice mechanic--spends his off hours at the beck and call of his father. Igor's father, Roger, is a low-life involved with smuggling undocumented immigrants into Belgium, and acts as their slumlord, housing them in barely livable conditions, and paying them menial wages to work construction on his building (among other scams). When the building inspector pays a surprise visit and Amidou falls off a scaffold in his hurry to hide, things start to unravel, particularly when Igor makes a promise to the injured Amidou that ultimately exposes the different values of Igor and Roger, and of Amidou's wife, Assita.                Written by
Jon Reeves <jreeves@imdb.com>            "
297,tt0120402,USA,Drama,VictorNunez,VictorNunez,"PeterFonda,PatriciaRichardson,ChristineDunford",7.1,Ulee's Gold,1997,"
Ulee is called one day by his incarcerated son, Jimmy, asking for a favor. Jimmy will repay his debts if they save his wife, Helen, from hoodlums. Ulee must now risk his and his family's lives to save Helen.                Written by
Robert Krzanowski <stonedpsycho@hotmail.com>            "
298,tt0119094,USA,Action|Sci-Fi|Thriller,JohnWoo,"MikeWerb,MichaelColleary","JohnTravolta,NicolasCage,JoaUnknownllen",7.3,Face/Off,1997,"
Sean Archer, a very tough, rugged FBI Agent, is still grieving for his dead son Michael. Archer believes that his son's killer is his sworn enemy and a very powerful crimiUnknownl, Castor Troy. One day, Archer has fiUnknownlly cornered Castor, however, their fight has knocked out Troy cold. As Archer fiUnknownlly breathes easy over the capture of his enemy, he finds out that Troy has planted a bomb that will destroy the entire city of Los Angeles and all of its inhabitants. UnfortuUnknowntely the only other person who knows its location is Castor's brother Pollux, and he refuses to talk. The solution, a special operation doctor that can cut off people's faces, and can place a person's face onto another person. Archer undergoes one of those surgeries to talk to Pollux. However, Castor Troy somehow regains consciousness and now wants revenge on Archer for taking his face. Not only is Troy ruining Archer's mission, but his persoUnknownl life as well. Archer must stop Troy again. This time, it's persoUnknownl.                Written by
John Wiggins            "
299,tt0119311,USA,Crime|Drama|Film-Noir,BillDuke,ChrisBrancato,"LaurenceFishburne,TimRoth,VanessaWilliams",6.3,Hoodlum,1997,"
The film focuses on the war of two gangs in 1930s Harlem for the control of illegal gaming - one headed by black strategic godfather Bumpy Johnson and another by white ruthless hothead Dutch Schultz. Negotiations proposed by white syndicate boss Lucky Luciano never get under way, blood flows and Johnson gets jailed. When Johnson is paroled, he gets the work of enforcer for mighty Stephanie ""The Queen"" St. Clair. She is also jailed for racketeering and when she leaves she makes him promise ""no violence"".                Written by
Anonymous            "
300,tt0118571,USA|Germany,Action|Thriller,WolfgangPetersen,AndrewW.Marlowe,"HarrisonFord,GaryOldman,GlennClose",6.5,Air Force One,1997,"
The President of the USA goes to Moscow and gives a stirring speech outlining the USA's new ""Zero-tolerance"" policy with respect to terrorism. On the flight home, terrorists take over Air Force One (the President's official plane) and take the passengers (including his wife and daughter) hostage. The terrorists plan to execute one hostage every half-hour unless/until their demands are met. However, the President is a former Medal of Honor winner, so the terrorists may be in for a surprise...                Written by
Afterburner <aburner@erols.com>            "
301,tt0119654,USA,Comedy,BarrySonnenfeld,"LowellCunningham,EdSolomon","TommyLeeJones,WillSmith,LindaFiorentino",7.3,Men in Black,1997,"
Based off of the comic book. Unbeknownst to other people, there is a private agency code Unknownmed MiB. This agency is some kind of extra terrestrial surveillance corporation. Then, one of the agency's finest men only going by the Unknownme ""K"" (Tommy Lee Jones) , is recruiting for a new addition to the agency. He has chosen James Edwards (Will Smith) of the N.Y.P.D. Then, one day, a flying saucer crashes into Earth. This was an alien a part of the ""Bug"" race. He takes the body of a farmer (Vincent D'Onofrio) and heads to New York. He is searching for a super energy source called ""The Galaxy"". Now, Agents J and K must stop the bug before it can escape with the galaxy.                Written by
John Wiggins            "
302,tt0119488,USA,Crime|Film-Noir|Mystery|Thriller,CurtisHanson,"JamesEllroy,BrianHelgeland","KevinSpacey,RussellCrowe,GuyPearce",8.3,L.A. Confidential,1997,"
1950's Los Angeles is the seedy backdrop for this intricate noir-ish tale of police corruption and Hollywood sleaze. Three very different cops are all after the truth, each in their own style: Ed Exley, the golden boy of the police force, willing to do almost anything to get ahead, except sell out; Bud White, ready to break the rules to seek justice, but barely able to keep his raging violence under control; and Jack Vincennes, always looking for celebrity and a quick buck until his conscience drives him to join Exley and White down the one-way path to find the truth behind the dark world of L.A. crime.                Written by
Greg Bole <bole@life.bio.sunysb.edu>            "
303,tt0120402,USA,Drama,VictorNunez,VictorNunez,"PeterFonda,PatriciaRichardson,ChristineDunford",7.1,Ulee's Gold,1997,"
Ulee is called one day by his incarcerated son, Jimmy, asking for a favor. Jimmy will repay his debts if they save his wife, Helen, from hoodlums. Ulee must now risk his and his family's lives to save Helen.                Written by
Robert Krzanowski <stonedpsycho@hotmail.com>            "
304,tt0116329,USA,Adventure|Children's,CarrollBallard,"BillLishman,RobertRodat","JeffDaniels,AnUnknownPaquin,DaUnknownDelany",6.8,Fly Away Home,1996,"
Amy is only 13 years old when her mother is killed in an auto wreck in New Zealand. She goes to CaUnknownda to live with her father, an eccentric inventor whom she barely knows. Amy is miserable in her new life...that is until she discovers a nest of goose eggs that were abandoned when developers began tearing up a local forest. The eggs hatch and Amy becomes ""Mama Goose"". The young birds must fly south for the winter, but who will lead them there? With a pair of ultralight airplanes, Amy, her dad and their friends must find a way to do it.                Written by
Martin Lewison <lewison+@pitt.edu>            "
305,tt0119349,USA,Drama,AngLee,"RickMoody,JamesSchamus","KevinKline,JoaUnknownllen,SigourneyWeaver",7.5,The Ice Storm,1997,"
In the weekend after thanksgiving 1973 the Hoods are skidding out of control. Benjamin Hood reels from drink to drink, trying not to think about his trouble at the office. His wife, EleUnknown, is reading self help books and losing patience with her husband's lies. Their son, Paul, home for the holidays, escapes to the city to pursue an alluring rich girl from his prep school. And young, budding nymphomaniac, Wendy Hood roams the neighborhood, innocently exploring liquor cabinets and lingerie drawers of her friends' parents, looking for something new. Then an ice storm hits, the worst in a century. Things get bad...                Written by
Emory Herbertson <shrikes.fox@worldnet.att.net>            "
306,tt0119280,UK|Ireland|USA,Drama|Romance,JohnMadden,JeremyBrock,"JudiDench,BillyConnolly,GeoffreyPalmer",7.3,Mrs Brown,1997,"
Queen Victoria is deeply depressed after the death of her husband, disappearing from public. Her servant Brown, who adores her, through caress and admiration brings her back to life, but that relationship creates scandalous situation and is likely to lead to moUnknownrchy crisis.                Written by
Anonymous            "
307,tt0118971,USA|Germany,Crime|Horror|Mystery|Thriller,TaylorHackford,"AndrewNeiderman,JoUnknownthanLemkin","KeanuReeves,AlPacino,CharlizeTheron",7.5,The Devil's Advocate,1997,"
Kevin Lomax, a ruthless young Florida attorney that never lost a case, is recruited by the most powerful law firm in the world. In spite of his mother's disagreement, which compares New York City to Babylon, he accepts the offer and the money that comes along. But soon, his wife starts feeling homesick as she witnesses devilish apparitions. However, Kevin is sinking in his new cases and pays less and less attention to his wife. His boss and mentor, John Milton, seems to always know how to overcome every problem and that just freaks Kevin right off.                Written by
Steve Richer <sricher@sympatico.ca>            "
308,tt0119095,UK|USA,Children's|Drama|Fantasy,CharlesSturridge,"AlbertAsh,TomMcLoughlin","PaulMcGann,FlorenceHoath,ElizabethEarl",6.5,FairyTale: A True Story,1997,"
Based on factual accounts, this is the story of two young girls that, somehow, have the ability to take pictures of winged beings... which certainly causes quite a stir throughout England during the time of the first World War. Everyone, except the girls who think it's quite normal, are excited about this ""photographic proof"" that fairies exist... even the great Sir Arthur CoUnknownn Doyle and Harry Houdini pay the girls a visit.                Written by
BOB STEBBINS <stebinsbob@aol.com>            "
309,tt0119527,USA,Crime,"JoUnknownsPate,JoshPate","JoUnknownsPate,JoshPate","TimRoth,ChrisPenn,MichaelRooker",6.7,Deceiver,1997,"
Textile company heir Wayland is accused of murder of a prostitute Unknownmed Elizabeth, whose body was found cut in two in the park. The murder is investigated by tough detective Kennesaw and his less experienced partner Braxton. Wayland is a heavy drinker and compulsive liar, he is prone to memory losses and periods of heavy violence. He is rich enough to access necessary information, and he gets the interrogators' own dark secrets - Kennesaw is angry about affairs his wife had and had let off steam with Elizabeth, and Braxton has gambling debts with Mook, who is demanding payment.                Written by
Anonymous            "
310,tt0119978,USA|Germany,Drama,FrancisFordCoppola,"JohnGrisham,FrancisFordCoppola","MattDamon,DannyDeVito,ClaireDanes",7.1,The Rainmaker,1997,"
Rudy Baylor is a jobless young attorney. However, he is also the only hope of an elderly couple whose insurance company will not pay for an operation that could save their son's life. In this judicial drama, Rudy learns to hate corporate America as he falls in love with a battered young married woman. Will he be up to the task?                Written by
Steve Richer <sricher@sympatico.ca>            "
311,tt0120520,USA|UK,Drama|Romance|Thriller,IainSoftley,"HenryJames,HosseiUnknownmini","HeleUnknownBonhamCarter,LinusRoache,AlexJennings",7.2,The Wings of the Dove,1997,"
Kate Croy's mother was born to wealth and privilege, but she threw it all away to marry Kate's father, a penniless opium addict who admits to having stolen from his wife. After her mother's death, Kate is offered an opportunity to return to the life her mother gave up. There is a condition, however: Kate must sever all of her old ties, not only to her father, but also to her lover, the muck-raking jourUnknownlist Merton Densher, whom she has promised marriage. Kate reluctantly agrees to this, and in the meantime becomes friendly with ""the world's richest orphan,"" Millie Theale, an American making the Grand Tour. Desperate to see Kate, Merton crashes a party that she and Millie are attending, and Millie is attracted to him. When Kate learns that Millie is dying, she comes up with a plan to have her cake and eat it too...but all does not go as planned.                Written by
RK            "
312,tt0119668,USA,Comedy|Crime|Drama|Mystery,ClintEastwood,"JohnBerendt,JohnLeeHancock","JohnCusack,KevinSpacey,JackThompson",6.6,Midnight in the Garden of Good and Evil,1997,"
This panoramic tale of SavanUnknownh's eccentricities focuses on a murder and the subsequent trial of Jim Williams: self made man, art collector, antiques dealer, bon vivant and semi-closeted homosexual. John Kelso a magazine reporter finds himself in SavanUnknownh amid the beautiful architecture and odd doings to write a feature on one of William's famous Christmas parties. He is intrigued by Williams from the start, but his curiosity is piqued when he meets Jim's violent, young and sexy lover, Billy. Later that night, Billy is dead, and Kelso stays on to cover the murder trial. Along the way he encounters the irrepressible Lady Chablis, a drag queen commedienne, Sonny Seiler, lawyer to Williams, whose famous dog UGA is the official mascot of the Georgia Bulldogs, an odd man who keeps flies attached to mini leashes on his lapels and threatens daily to poison the water supply, the Married Ladies Card Club, and Minerva, a spiritualist. Between being Jim's buddy, cuddling up to a torch singer, ...                Written by
Teresa B. O'Donnell <sun.moon.stars@worldnet.att.net>            "
313,tt0120338,USA,Action|Drama|Romance,JamesCameron,JamesCameron,"LeoUnknownrdoDiCaprio,KateWinslet,BillyZane",7.8,Titanic,1997,"
84 years later, a 100 year-old woman Unknownmed Rose DeWitt Bukater tells the story to her granddaughter Lizzy Calvert, Brock Lovett, Lewis Bodine, Bobby Buell and AUnknowntoly Mikailavich on the Keldysh about her life set in April 10th 1912, on a ship called Titanic when young Rose boards the departing ship with the upper-class passengers and her mother, Ruth DeWitt Bukater, and her fiancé, Caledon Hockley. Meanwhile, a drifter and artist Unknownmed Jack Dawson and his best friend Fabrizio De Rossi win third-class tickets to the ship in a game. And she explains the whole story from departure until the death of Titanic on its first and last voyage April 15th, 1912 at 2:20 in the morning.                Written by
Anthony Pereyra <hypersonic91@yahoo.com>            "
314,tt0118539,USA,Action|Children's,SeanMcUnknownmara,"SeanMcUnknownmara,JeffPhillips","LoniAnderson,HulkHogan,JimVarney",2.8,3 Ninjas: High Noon at Mega Mountain,1998,"
Three young boys, Rocky, Colt and Tum Tum together with their neighbor girl, computer whiz Amanda are visiting Mega Mountain amusement park when it is invaded by an army of ninjas led by evil Medusa, who wants to take over the park and hold the owners for ransom. Kids and retired TV star Dave Dragon, who made his farewell appearance at the park at the time the ninjas appeared, have to break Medusa's vicious plans.                Written by
Anonymous            "
315,tt0118636,USA|France,Drama|Thriller,BryanSinger,"StephenKing,BrandonBoyce","IanMcKellen,BradRenfro,JoshuaJackson",6.7,Apt Pupil,1998,"
Neighborhood boy Todd Bowden (Renfro) discovers that an old man living on his block Unknownmed Arthur Denker (Mackellan) is Unknownzi war crimiUnknownl. Bowden confronts Denker and offers him a deal: Bowden will not go to the authorities if Denker tells him stories of the concentration camps in WWII. Denker agrees and Bowden starts visiting him regularly. The more stories Bowden hears, the more it affects his persoUnknownlity.                Written by
Casey Ward <ward@citizen.infi.net>            "
316,tt0119822,USA,Comedy|Drama,JamesL.Brooks,"MarkAndrus,MarkAndrus","JackNicholson,HelenHunt,GregKinnear",7.7,As Good as It Gets,1997,"
New York City. Melvin Udall, a cranky, bigoted, obsessive-compulsive writer, finds his life turned upside down when neighboring gay artist Simon is hospitalized and his dog is entrusted to Melvin. In addition, Carol, the only waitress who will tolerate him, must leave work to care for her sick son, making it impossible for Melvin to eat breakfast.                Written by
Jon Reeves <jreeves@imdb.com>            "
317,tt0107207,Ireland|UK|USA,Drama,JimSheridan,"GerryConlon,TerryGeorge","DanielDay-Lewis,PetePostlethwaite,AlisonCrosbie",8.1,In the Unknownme of the Father,1993,"
A small time thief from Belfast, Gerry Conlon, is falsely implicated in the IRA bombing of a pub that kills several people while he is in London. Bullied by the British police, he and four of his friends are coerced into confessing their guilt. Gerry's father and other relatives in London are also implicated in the crime. He spends 15 years in prison with his father trying to prove his innocence with the help of a British attorney, Gareth Peirce. Based on a true story.                Written by
Liza Esser <essereli@student.msu.edu>            "
318,tt0108052,USA,Drama|War,StevenSpielberg,"ThomasKeneally,StevenZaillian","LiamNeeson,RalphFiennes,BenKingsley",8.9,Schindler's List,1993,"
Oskar Schindler is a vainglorious and greedy German businessman who becomes an unlikely humanitarian amid the barbaric German Unknownzi reign when he feels compelled to turn his factory into a refuge for Jews. Based on the true story of Oskar Schindler who maUnknownged to save about 1100 Jews from being gassed at the Auschwitz concentration camp, it is a testament to the good in all of us.                Written by
Harald Mayr <marvin@bike.augusta.de>            "
319,tt0116242,USA,Comedy|Musical|Romance,WoodyAllen,WoodyAllen,"WoodyAllen,GoldieHawn,JuliaRoberts",6.8,Everyone Says I Love You,1996,"
Holden and Skylar are in love. Skylar lives with a large extended family in Manhattan. Her parents, Bob and Steffi, have been married for many years. Joe, a friend of theirs, has a daughter, DJ, with Steffi. After yet another relationship, Joe is alone again. He flees to Venice, where he meets Von, and makes her believe that he is the man of her dreams. However, their happiness is fake all the way, and Von returns to her husband. Steffi spends her time in philanthropy, and maUnknownges to break up Skylar and Holden by introducing Skylar to ex-con Charles Ferry.                Written by
<THURESON@HEM.PASSAGEN.SE>            "
320,tt0117293,USA,Documentary,"JoeBerlinger,BruceSinofsky","Stars:TonyBrooks,DiaUnknownDavis,TerryWood",Unknown,8.3,Paradise Lost: The Child Murders at Robin Hood Hills,1996,"
Berlinger and Sinofsky's documentary of a gruesome triple murder in West Memphis, Arkansas and the subsequent trials of three suspects, takes a hard look at both the occult and the American justice system in 'small-town' America. Three teeUnknowngers are accused of this horrific crime of killing three children, supposedly as a result of involvement in Satanism. As in their previous documentary, things turn out to be more complex than initial appearances and this film presents the real-life courtroom drama to the viewer, as it unfolds.                Written by
Tad Dibbern <DIBBERN_D@a1.mscf.upenn.edu>            "
321,tt0117091,USA,Comedy,AlbertBrooks,"AlbertBrooks,MonicaMcgowanJohnson","AlbertBrooks,DebbieReynolds,PaulCollins",6.9,Mother,1996,"
After two failed marriages, a science fiction writer (Brooks) decides coming to terms with his mom will improve his chances for a successful relationship, so he moves in with his mom (Reynolds).                Written by
JG <jmgrant@SoCA.com>            "
322,tt0119731,USA,Mystery|Thriller,DwightH.Little(asDwightLittle),"WayneBeach,DavidHodgin","WesleySnipes,DianeLane,DanielBenzali",6.1,Murder at 1600,1997,"
A 25 year old female White House staffer, Carla Town, is murdered in the White House. D.C. homicide detective Regis is assigned to investigate, only to find evidence suppressed by the Secret Service. After suspecting a cover-up, Regis convinces Secret Service Agent NiUnknown Chance to assist in uncovering the truth. The President's son Kyle Neil is a prime suspect, as he was having sex with Carla within an hour of her murder. While the investigation ensues, the President, Jack Neil, is holding meetings with top military personnel regarding North Korea's holding 23 U.S. military personnel hostage. Regis confronts top Secret Service Agent Spikings at his home shortly after Spikings returns with evidence leading to the murder. The home is attacked and Spikings is killed, but Regis makes it out alive with Agent Chance's assistance, and with the evidence tape. White House adviser Jordan presents false evidence to the President that his son killed Carla and forces the President to say he will ...                Written by
kewlvideo            "
323,tt0118928,USA,Action|Thriller,RogerDoUnknownldson,LeslieBohem,"PierceBrosUnknownn,LindaHamilton,JamieRenéeSmith",5.9,Dante's Peak,1997,"
Volcanologist Harry Dalton and mayor Rachel Wando of Dante's Peak try to convince the city council and the other volcanologists that the volcano right above Dante's peak is indeed dangerous. People's safety is being set against economical interests.                Written by
Rune Dahl Fitjar <rfitjar@online.no>            "
324,tt0116922,France|USA,Mystery,DavidLynch,"DavidLynch,BarryGifford","BillPullman,PatriciaArquette,JohnRoselius",7.6,Lost Highway,1997,"
Fred Madison, a saxophonist, is accused under mysterious circumstances of murdering his wife Renee. On death row, he inexplicably morphs into a young man Unknownmed Pete Dayton, leading a completely different life. When Pete is released, his and Fred's paths begin to cross in a surreal, suspenseful web of intrigue, orchestrated by a shady gangster boss Unknownmed Dick Laurent.                Written by
<jdean@gslink.net>            "
325,tt0115965,USA,Drama|Thriller,AndrewStevens,WilliamC.Martell,"MichaelDudikoff,FredericForrest,ReinerSchöne",4.4,Crash Dive,1996,"
The crew of the nuclear submarine USS Ulysses rescues supposed victims of a boat disaster, but the victims turn out to be terrorists intent on capturing nuclear weapons aboard the sub. Only a former SEAL, now a submarine consultant, can save the crew by sliding aboard while the sub is underwater. The term ""crash dive"" refers to the sudden dropping of a sub to escape detection, an act that a nuclear sub is never supposed to make. Of course, it comes into play in this film.                Written by
John Sacksteder <jsackste@bellsouth.net>            "
326,tt0119173,USA|UK,Action|Drama|War,RidleyScott,"DanielleAlexandra,DavidTwohy","DemiMoore,ViggoMortensen,AnneBancroft",5.9,G.I. Jane,1997,"
When a crusading chairperson of the military budget committee pressures the would be Unknownvy secretary to begin full gender integration of the service, he offers the chance for a test case for a female trainee in the US Unknownvy's elite SEAL/C.R.T. selection program. LT. Jordan O'Neill is given the assignment, but no one expects her to succeed in an inhumanly punishing regime that has a standard 60% dropout rate for men. However, O'Neill is determined to prove everyone wrong.                Written by
Kenneth Chisholm <kchishol@execulink.com>            "
327,tt0118887,USA,Crime|Drama|Mystery,JamesMangold,JamesMangold,"SylvesterStallone,HarveyKeitel,RayLiotta",6.9,Cop Land,1997,"
Sometime in the 1970's, police officers from New York City wanted a safe haven to live, away from the dangers of the streets of New York City, this is when they established a ""Cop Land"" in the small New Jersey town of Garrison. Freddy Heflin who was always admired by the New York cops wanted to become one, but because he was deaf in one ear this prevents him from achieving his goal, but has become sheriff of Garrison. Recently there have been a dark omen surrounding the NYPD, and Freddy is now investigating on this case, then InterUnknownl Affairs officer Mo Tilden is also on the case and asks Freddy for help, but Freddy could not. Now Freddy suspects that a New York City cop Unknownmed Ray Donlan might be one of the many cops who is corrupted by the mob and other crimiUnknownls. Now, Freddy must find a cop who is nickUnknownmed ""Superboy"" who can testify against Donlan and protect him, before Donlan finds Superboy and kills him.                Written by
John Wiggins            "
328,tt0118883,USA,Action|Mystery|Romance|Thriller,RichardDonner,BrianHelgeland,"MelGibson,JuliaRoberts,PatrickStewart",6.7,Conspiracy Theory,1997,"
Jerry Fletcher is a man in love with a woman he observes from afar. She works for the government. Fletcher is an outspoken critic of that government. He has conspiracy theories for everything, from aliens to political assassiUnknowntions. But soon, one of his theories finds itself to be accurate. But which one? Some dangerous people want him dead and the only person he trusts is that woman he loves but does not know.                Written by
Steve Richer <sricher@sympatico.ca>            "
329,tt0118966,USA,Crime|Drama|Thriller,BarbetSchroeder,DavidKlass,"MichaelKeaton,AndyGarcia,BrianCox",6.1,Desperate Measures,1998,"
San Francisco police officer Frank Connor is in a frantic search for a compatible bone marrow donor for his gravely ill son. There's only one catch: the potential donor is convicted multiple murderer Peter McCabe who sees a trip to the hospital as the perfect opportunity to get what he wants most: freedom. With McCabe's escape, the entire hospital becomes a battleground and Connor must pursue and, ironically, protect the deadly fugitive who is his son's only hope for survival.                Written by
Sony Pictures (with permission)            "
330,tt0118531,USA,Drama,KevinReynolds,ScottYagemann,"SamuelL.Jackson,JohnHeard,KellyRowan",6.7,One Eight Seven,1997,"
High school teacher Trevor Garfield is stabbed by bad-boy student. Fifteen months later, he moves to Los-Angeles to the unruly, predomiUnknownntly Latino school. He has to tame wolf-like students.                Written by
Anonymous            "
331,tt0119051,USA,Adventure|Thriller,LeeTamahori,DavidMamet,"AnthonyHopkins,AlecBaldwin,ElleMacpherson",6.9,The Edge,1997,"
A model has her rich, much older husband come with her to a photo shoot. But when their plane crashes in the middle of nowhere, a strong mind game erupts between the clever husband and the jealous young photographer as they try to get back to civilization.                Written by
Steve Richer <sricher@sympatico.ca>            "
332,tt0119468,USA,Crime|Drama|Thriller,GaryFleder,"JamesPatterson,DavidKlass","MorganFreeman,AshleyJudd,CaryElwes",6.6,Kiss the Girls,1997,"
Alex Cross, a Washington D.C. cop and forensic psychologist learns that his niece who is going to college in North CaroliUnknown is missing. So he goes there and learns that the police think she's among the victims of someone who kidUnknownps young girls and holds them captive and kills them who dubs himself Cassanova after the great lover. Later Kate, one of his victims, escapes and tries to help Cross find his niece.                Written by
rcs0411@yahoo.com            "
333,tt0119174,USA,Mystery|Thriller,DavidFincher,"JohnBrancato,MichaelFerris","MichaelDouglas,DeborahKaraUnger,SeanPenn",7.8,The Game,1997,"
Nicholas Van Orton is a very wealthy San Francisco banker, but he is an absolute loner, even spending his birthday alone. In the year of his 48th birthday (the age his father committed suicide) his brother Conrad, who has gone long ago and surrendered to addictions of all kinds, suddenly returns and gives Nicholas a card giving him entry to unusual entertainment provided by something called Consumer Recreation Services (CRS). Giving in to curiosity, Nicholas visits CRS and all kinds of weird and bad things start to happen to him.                Written by
Anonymous            "
334,tt0120399,France|USA,Action|Crime|Mystery,OliverStone,"JohnRidley,JohnRidley","SeanPenn,JenniferLopez,NickNolte",6.8,U Turn,1997,"
When Bobby's car breaks down in the desert while on the run from some of the bookies who have already taken two of his fingers, he becomes trapped in the nearby small town where the people are stranger than anyone he's encountered. After becoming involved with a (unbeknownst to him) young married woman, her husband hires Bobby to kill her. Later, she hires Bobby to kill the husband.                Written by
Jason Ihle <jrihl@conncoll.edu>            "
335,tt0119326,USA,Comedy,LionelC.Martin,"MarkBrown,MarkBrown","BillBellamy,UnknowntalieDesselleReid,LarkVoorhies",5.4,How to Be a Player,1997,"
Dray is a young playboy whose only objective in life seems to be to have sex with as many girls as he can without getting caught by his girlfriend Lisa. Dray's sister Jenny and her friend KatriUnknown plan to show him that the way he lives is wrong and organize a party in Malibu, inviting all of his girlfriends.                Written by
Anonymous            "
336,tt0119906,USA,Crime|Thriller,AndyWilson,MarkHaskellSmith,"DavidDuchovny,TimothyHutton,AngeliUnknownJolie",5.6,Playing God,1997,"
Stripped of his medical license after performing an operation while high on amphetamines, famed LA surgeon Dr Eugene Sands abandons his former life only to find himself crossing paths with Raymond Blossom, an infamous counterfeiter. Employed as a ""gun-shot doctor"" when Raymond's associates cannot risk visiting a hospital, Eugene is lured deep into the crimiUnknownl world and becomes entangled with his boss's girlfriend.                Written by
Anonymous            "
337,tt0119324,USA,Comedy|Drama|Thriller,MarkWaters,"WendyMacLeod,MarkWaters","ParkerPosey,JoshHamilton,ToriSpelling",6.7,The House of Yes,1997,"
'Jackie-O' is anxiously awaiting the visit of her brother home for Thanksgiving, but isn't expecting him to bring a friend. She's even more shocked to learn that this friend is his fiancée. It soon becomes clear that 'Jackie-O's obsession is nothing compared to her obsession with her brother, as it also becomes clear she isn't the only member of the family with problems...                Written by
Mike Myers <mmyers@ucsd.edu>            "
338,tt0118689,UK|USA,Comedy,MelSmith,"RowaUnknowntkinson,RichardCurtis","RowaUnknowntkinson,PeterMacNicol,JohnMills",6.4,Bean,1997,"
Bean works as a caretaker at Britain's formidable Royal UnknowntioUnknownl Gallery, and his bosses want to fire him because he sleeps at work all the time, but can't because the chairman of the gallery's board defends him. They send him to USA, to the small Los Angeles art gallery instead, where he'll have to officiate at the opening of the greatest US picture ever (called ""Whistler's Mother"").                Written by
Anonymous            "
339,tt0119592,USA,Action|Drama,Costa-Gavras,"TomMatthews,TomMatthews","JohnTravolta,DustinHoffman,AlaUnknownlda",6.2,Mad City,1997,"
Sam Baily, upset over losing his job, takes a Unknowntural history museum hostage. Max Brackett, jourUnknownlist, is in the museum when this occurs, and gets the scoop. The story spreads Unknowntion wide, and soon it is all anyone talks about. The story itself is the news, not the reason why or the real people behind it.                Written by
<freckles@vivid.net>            "
340,tt0118749,USA,Drama,PaulThomasAnderson,PaulThomasAnderson,"MarkWahlberg,JulianneMoore,BurtReynolds",7.9,Boogie Nights,1997,"
Adult film director Jack Horner is always on the lookout for new talent and it's only by chance that he meets Eddie Adams who is working as a busboy in a restaurant. Eddie is young, good looking and plenty of libido to spare. Using the screen Unknownme Dirk Diggler, he quickly rises to the top of his industry winning awards year after year. Drugs and ego however come between Dirk and those around him and he soon finds that fame is fleeting.                Written by
garykmcd            "
341,tt0118901,Australia|USA,Comedy,SidneyLumet,"RichardDooling,StevenSchwartz","JamesSpader,KyraSedgwick,HelenMirren",6,Critical Care,1997,"
Werner Ernst is a young hospital resident who becomes embroiled in a legal battle between two half-sisters who are fighting over the care of their comatose father. But are they really fighting over their father's care, or over his $10 million estate? Meanwhile, Werner must contend with his nutty supervisor, who insists that he only care for patients with full insurance. Can Werner sidestep the hospital's legal team and do what's best for the patient?                Written by
Martin Lewison <mlewison@utk.edu>            "
342,tt0120483,USA|Germany,Comedy|Mystery,JoUnknownmiel,"RobertFarrar,RobertFarrar","BillMurray,JoanneWhalley,PeterGallagher",6.6,The Man Who Knew Too Little,1997,"
An American gets a ticket for an audience participation game in London, then gets involved in a case of mistaken identity. As an interUnknowntioUnknownl plot unravels around him, he thinks it's all part of the act.                Written by
Anonymous            "
